Pond,Start Burn year,Start Burn month,End Burn month,End Burn Yr,Burned during study?,#AGRY,#AMAC,#AMAB,#AMEA,#AOPA,#ATAL,#BTER,#BQUE,#GCAR,#HCHR,#HCIN,#HFEM,#HSQU,#NVIR,#PCRU,#PNIG,#POCU,#PORN,#PVAR,#RCAT,#RCLA,#RSPH,#RVIR,#SHOL,#SINR,total # amphibs,# anura,# caudata,AGRY,AMAC,AMAB,AMEA,AOPA,ATAL,BTER,BQUE,GCAR,HCHR,HCIN,HFEM,HSQU,NVIR,PCRU,PNIG,POCU,PORN,PVAR,RCAT,RCLA,RSPH,RVIR,SHOL,SINR,# species,diameter (m),Dist. to per. wtld (m),Dist. to int. wtld (m),Log(dist to int wtld),Dist. to road(m),Log(dist to road),Dist. to ditch(m),Fish,Mean Turbidity,Mean pH,Mean DO,K (ppm),Ca (ppm),Mg (ppm),Fe (ppm),Na (ppm),Cl (ppm),TDS (ppm),Hydroperiod,Mean leaf litter mass(g),Mean Soil moisture(%),soil temp st dev (F),soil temp variance (F),soil temp mean (F),H2O chem prin1,H2O chem prin2,H2O chem prin3,H2O chem prin4,Evenness (E)
63,3,-41,-41,4,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,27,27,0,p,a,a,a,a,a,p,a,p,a,a,a,a,a,p,a,p,a,a,a,a,a,a,a,a,5,53.9,439,256.3,2.408748606,48.5,1.685741739,46.5,absent,1.45,3.945,35.55,0.1,3.4,0.6,0.2,3,12.8,26,,301.4,24.51246452,5.427406,29.45674,63.96311,-0.8101868,-1.0266335,-0.674617983,-0.402868844,0.462962963
67,5,-64,-64,6,0,0,0,1,0,2,7,3,0,4,0,0,4,0,1,0,0,2,0,1,0,0,10,0,0,0,35,23,12,a,a,p,a,p,p,p,a,p,a,a,p,a,p,p,a,p,a,p,a,a,p,a,a,a,11,48.4,56.8,81,1.908485019,108.2,2.034227261,32.2,present,0.89,4.005,44.15,0.7,1.2,0.6,0.5,4,12.8,19,,582.0666667,18.69411832,4.962621,24.62761,63.88675,-0.247256862,0.421477533,-0.13576994,-0.833626724,0.614285714
103,3,-40,-40,4,0,50,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,1,0,0,8,1,10,15,0,1,186,185,1,p,a,a,a,a,a,p,a,a,a,a,p,a,a,a,a,p,a,a,p,p,p,p,a,p,9,41.2,84.1,25.2,1.401400541,199.6,2.300160537,15.9,present,0.716666667,3.51,48.65,0.1,0.4,0.4,0.2,2,10.6,26,,210.5666667,24.96394199,6.186379,38.27129,65.47474,-2.203173294,0.3157475,-0.121106901,-0.453212602,0.467741935
104,3,-39,-39,4,0,0,0,0,1,1,0,9,0,15,0,0,8,0,0,0,0,6,0,2,0,2,1,0,1,1,47,42,5,a,a,a,p,p,a,p,a,p,a,a,p,a,a,a,a,p,a,p,a,p,p,a,p,p,11,49.7,45.8,8,0.903089987,237,2.374748346,2.4,present,4.023333333,4.22,51.25,0.6,2.1,1,0.5,3,12.8,26,,520.7666667,27.3782052,5.603514,31.39937,64.56616,-0.108549831,0.980436166,0.178777047,-0.651201709,0.510638298
105,5,-77,-77,6,0,0,0,0,0,0,0,2,0,6,1,0,150,0,0,0,0,50,0,0,0,3,6,0,0,0,218,218,0,a,a,a,a,a,a,p,a,p,p,a,p,a,a,a,a,p,a,a,a,p,p,a,a,a,6,51.6,717.6,108.2,2.034227261,105.7,2.024074987,10.4,present,1.303333333,3.77,37.1,0,0.8,0.5,0.2,3,12.8,19,,547,32.8702735,7.086224,50.21457,65.1027,-1.424121057,-1.001455004,-0.695000955,-0.030166984,0.299539171
112,0,-4,-4,1,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,4,6,0,0,0,8,10,3,0,0,40,40,0,a,a,a,a,a,a,p,a,p,a,a,p,a,a,a,p,p,a,a,a,p,p,p,a,a,7,44.2,385.8,147.3,2.168202747,70.4,1.847572659,61,present,1.993333333,3.685,42.15,0.1,1.5,0.5,0.3,4,12.8,32,,189,28.11812614,5.148252,26.5045,63.8332,-0.893009018,-0.599400765,-0.155149069,0.114678505,0.7625
164,5,-67,7,0,1,1,0,0,0,0,0,13,0,0,0,0,1,0,0,1,1,6,0,0,0,5,1,0,0,0,29,29,0,p,a,a,a,a,a,p,a,a,a,a,p,a,a,p,p,p,a,a,a,p,p,a,a,a,8,37.4,584.1,72,1.857332496,645.3,2.809761665,25,absent,1.116666667,3.685,61.3,0.1,1.4,0.7,0.7,4,14.9,26,,505.1666667,23.18028434,6.446197,41.55345,66.31237,-0.743921904,0.799318432,0.999244088,1.457974243,0.482758621
175,0,-2,-2,1,0,18,0,0,0,0,5,54,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,82,77,5,p,a,a,a,a,p,p,a,p,a,a,p,a,a,a,a,a,a,a,p,a,a,p,a,a,7,39.5,42.6,76.3,1.882524538,117.2,2.068927612,14,present,0.716666667,3.435,45.1,0,0.7,0.6,0.1,3,12.8,19,,257.4666667,6.617405966,13.8429,191.626,72.79141,-1.766510604,-0.459834455,-0.041648555,0.330879085,0.308943089
176,0,-4,-4,1,0,0,0,0,0,0,0,1,1,2,0,0,3,2,0,0,4,6,0,1,0,0,5,0,0,0,25,24,1,a,a,a,a,a,a,p,p,p,a,a,p,p,a,a,p,p,a,p,a,a,p,a,a,a,9,44.8,959.5,73,1.86332286,163.1,2.212453961,50,present,0.63,3.72,51.65,0.1,0.8,0.7,0.1,4,17,26,,59.86666667,25.14441954,7.736098,59.84721,66.81592,-0.53431132,-0.630179098,1.142681192,1.337883802,0.69
180,1,-15,5,0,1,1,0,0,0,0,0,1,0,2,0,1,13,4,0,0,0,11,2,0,0,1,4,0,0,0,40,40,0,p,a,a,a,a,a,p,a,p,a,p,p,p,a,a,a,p,p,a,a,p,p,a,a,a,10,41.2,499,94,1.973127854,48.8,1.688419822,46.8,present,1.013333333,3.795,36.35,0.3,1.8,1,0.1,5,14.9,32,,191.9,24.90235518,22.86567,522.8388,76.62043,0.257192985,-1.197328478,-0.06183058,0.19440955,0.555555556
181,1,-15,8,0,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0,0,22,22,0,a,a,a,a,a,a,a,a,p,a,a,p,a,a,a,a,p,a,a,a,a,p,a,a,a,4,51.4,500.2,131.6,2.119255889,19.6,1.292256071,2.7,present,0.6,3.755,53,0.2,1.3,0.7,0.2,3,12.8,26,,190.5666667,24.89758951,11.12391,123.7413,72.24564,-1.191672279,0.382160633,0.508221645,0.094126297,0.818181818
182,1,-20,9,0,1,0,0,0,0,0,0,4,0,0,0,0,17,1,0,0,2,1,0,0,0,0,0,0,0,0,25,25,0,a,a,a,a,a,a,p,a,a,a,a,p,p,a,a,p,p,a,a,a,a,p,a,a,a,6,43.2,458.9,65,1.812913357,306.4,2.486288761,46.8,present,3.183333333,4.165,35.7,0.3,0.9,0.5,0.1,3,12.8,19,,56.8,17.85711426,9.428247,88.89184,69.7899,-0.854001846,-0.851536595,-0.632086007,-0.842283319,0.384
202,8,-144,-144,control,0,0,0,3,0,0,0,4,0,0,0,1,2,3,1,15,2,9,0,0,0,0,23,0,0,0,63,59,4,a,a,p,a,a,a,p,a,a,a,p,p,p,p,p,p,p,a,a,a,a,p,a,a,a,10,41.2,108,153.5,2.18610838,48.6,1.686636269,12.7,absent,0.923333333,3.68,63.5,0.7,2.2,0.9,0.7,3,10.6,26,,1071.033333,18.30314239,5.083688,25.84388,63.548,-0.875971846,2.432953055,0.683195511,-0.650489547,0.504409171
213,8,-144,-144,control,0,0,24,0,0,16,4,4,0,30,60,25,0,20,3,15,0,30,0,1,0,8,3,0,0,0,243,195,48,a,p,a,a,p,p,p,a,p,p,p,p,p,p,p,a,p,a,p,a,p,p,a,a,a,15,29.6,667.3,402.8,2.605089462,57.5,1.759667845,0,present,7.886666667,5.405,39.5,1.1,21.9,2.3,0.6,8,19.1,102,,441.1,21.23320045,5.767092,33.25935,64.61748,7.109486932,-0.756261999,1.511911362,-0.643299567,0.634660422
215,8,-144,-144,control,0,0,0,0,1,0,0,1,0,18,2,3,4,0,0,1,0,6,0,1,0,1,119,0,0,0,157,155,2,a,a,a,p,a,a,p,a,p,p,p,p,a,a,p,a,p,a,p,a,p,p,a,a,a,11,28.3,88.3,41.9,1.622214023,42.1,1.624282096,38.5,present,2.523333333,4.815,35,0.6,9.6,2.5,2.9,6,14.9,51,,601.3,15.71904509,5.857572,34.31115,64.4336,4.286006743,1.190536576,-2.506820855,0.977197814,0.241935484
